기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2024,용인시 기흥구,구성동,15329,38904,18685,20219,38760,18635,20125,144,50,94,2.54,8212
2024,용인시 기흥구,마북동,13114,33828,16571,17257,33564,16434,17130,264,137,127,2.58,6770
2024,용인시 기흥구,동백1동,11591,31529,15082,16447,31398,15037,16361,131,45,86,2.72,3946
2024,용인시 기흥구,동백2동,9433,26575,12983,13592,26490,12942,13548,85,41,44,2.82,3449
2024,용인시 기흥구,동백3동,10125,26943,13095,13848,26823,13043,13780,120,52,68,2.66,4493
2024,용인시 기흥구,상하동,9173,23488,11429,12059,23229,11261,11968,259,168,91,2.56,4394
2024,용인시 기흥구,보정동,12881,34704,16981,17723,34457,16849,17608,247,132,115,2.69,6144
2024,용인시 수지구,풍덕천1동,15694,35400,17641,17759,34797,17359,17438,603,282,321,2.26,5676
2024,용인시 수지구,풍덕천2동,15396,41564,20444,21120,41320,20351,20969,244,93,151,2.7,4200
2024,용인시 수지구,신봉동,14740,41391,19921,21470,41248,19858,21390,143,63,80,2.81,6586
2024,용인시 수지구,죽전1동,10709,28421,13676,14745,28162,13584,14578,259,92,167,2.65,4852
2024,용인시 수지구,죽전2동,7625,17904,8807,9097,17805,8760,9045,99,47,52,2.35,2789
2024,용인시 수지구,죽전3동,10801,27536,13244,14292,26441,12835,13606,1095,409,686,2.55,3916
2024,용인시 수지구,동천동,19515,50990,25004,25986,50597,24816,25781,393,188,205,2.61,7185
2024,용인시 수지구,상현1동,6565,20015,9618,10397,19960,9597,10363,55,21,34,3.05,3077
2024,용인시 수지구,상현2동,11443,32946,15944,17002,32874,15918,16956,72,26,46,2.88,5452
2024,용인시 수지구,상현3동,11110,27614,13281,14333,27480,13241,14239,134,40,94,2.49,3570
2024,용인시 수지구,성복동,18783,54856,26409,28447,54667,26320,28347,189,89,100,2.92,9922
