행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,재송제1동,0세 - 9세,여,"1,378"
부산광역시 해운대구,재송제1동,10세 - 19세,남,"2,566"
부산광역시 해운대구,재송제1동,10세 - 19세,여,"2,424"
부산광역시 해운대구,재송제1동,20세 - 29세,남,"1,865"
부산광역시 해운대구,재송제1동,20세 - 29세,여,"1,644"
부산광역시 해운대구,재송제1동,30세 - 39세,남,"1,883"
부산광역시 해운대구,재송제1동,30세 - 39세,여,"1,998"
부산광역시 해운대구,재송제1동,40세 - 49세,남,"3,348"
부산광역시 해운대구,재송제1동,40세 - 49세,여,"3,739"
부산광역시 해운대구,재송제1동,50세 - 59세,남,"2,998"
부산광역시 해운대구,재송제1동,50세 - 59세,여,"2,963"
부산광역시 해운대구,재송제1동,60세 - 69세,남,"2,061"
부산광역시 해운대구,재송제1동,60세 - 69세,여,"2,329"
부산광역시 해운대구,재송제1동,70세 - 79세,남,"1,238"
부산광역시 해운대구,재송제1동,70세 - 79세,여,"1,367"
부산광역시 해운대구,재송제1동,80세 - 89세,남,379
부산광역시 해운대구,재송제1동,80세 - 89세,여,505
부산광역시 해운대구,재송제1동,90세 - 99세,남,21
부산광역시 해운대구,재송제1동,90세 - 99세,여,90
부산광역시 해운대구,재송제1동,100세 - 109세,남,0
부산광역시 해운대구,재송제1동,100세 - 109세,여,1
부산광역시 해운대구,재송제1동,110세 이상,남,0
부산광역시 해운대구,재송제1동,110세 이상,여,0
부산광역시 해운대구,재송제2동,0세 - 9세,남,350
부산광역시 해운대구,재송제2동,0세 - 9세,여,281
부산광역시 해운대구,재송제2동,10세 - 19세,남,828
부산광역시 해운대구,재송제2동,10세 - 19세,여,783
부산광역시 해운대구,재송제2동,20세 - 29세,남,"1,178"
부산광역시 해운대구,재송제2동,20세 - 29세,여,992
부산광역시 해운대구,재송제2동,30세 - 39세,남,"1,283"
부산광역시 해운대구,재송제2동,30세 - 39세,여,"1,013"
부산광역시 해운대구,재송제2동,40세 - 49세,남,"1,517"
부산광역시 해운대구,재송제2동,40세 - 49세,여,"1,481"
부산광역시 해운대구,재송제2동,50세 - 59세,남,"1,809"
부산광역시 해운대구,재송제2동,50세 - 59세,여,"2,125"
부산광역시 해운대구,재송제2동,60세 - 69세,남,"2,010"
부산광역시 해운대구,재송제2동,60세 - 69세,여,"2,459"
부산광역시 해운대구,재송제2동,70세 - 79세,남,"1,231"
부산광역시 해운대구,재송제2동,70세 - 79세,여,"1,346"
부산광역시 해운대구,재송제2동,80세 - 89세,남,298
부산광역시 해운대구,재송제2동,80세 - 89세,여,589
부산광역시 해운대구,재송제2동,90세 - 99세,남,18
부산광역시 해운대구,재송제2동,90세 - 99세,여,92
부산광역시 해운대구,재송제2동,100세 - 109세,남,0
부산광역시 해운대구,재송제2동,100세 - 109세,여,4
부산광역시 해운대구,재송제2동,110세 이상,남,0
부산광역시 해운대구,재송제2동,110세 이상,여,0
