번호,기준년월,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,출생년도,인구수
3855,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1929,1
3856,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,1963,6
3857,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2018,53
3858,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동,1977,1
3859,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1966,150
3860,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1996,86
3861,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014200,원촌동,1956,20
3862,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2003,2
3863,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2012,30
3864,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,1994,4
3865,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,1982,476
3866,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1940,1
3867,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1930,1
3868,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,1942,13
3869,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동,1952,73
3870,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1974,1
3871,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1930,3
3872,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1943,3
3873,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2017,35
